Age,Female,Real Estate Purchases,Value of Investments,Number of Transactions,Graduate Degree,Household Income,Have Children
31,1,1,13900,5,1,98800,1
29,1,0,28900,7,1,53300,1
28,1,0,70400,8,0,30000,1
26,1,0,12400,4,1,93200,1
26,0,1,27800,9,1,84100,0
26,1,0,19900,5,1,124000,1
29,1,0,28000,7,1,73400,1
32,1,1,75000,6,1,45500,0
37,1,0,14000,9,1,88400,1
32,0,0,20900,4,1,74900,0
33,1,0,47200,6,1,51700,1
36,1,0,57200,5,0,78700,1
30,0,1,42900,7,1,30700,1
31,0,1,44200,1,1,56000,1
28,1,1,28000,4,1,88400,1
25,0,1,24500,6,1,201700,1
29,0,0,18100,9,1,71600,1
31,1,0,20900,7,0,59000,1
32,0,0,32100,6,0,57300,1
32,0,1,44500,6,0,91900,1
38,0,1,20100,4,1,68300,1
35,0,1,36000,8,0,93900,0
34,0,0,12600,12,1,61200,0
33,0,1,19300,6,0,128800,1
32,1,1,33300,13,1,77900,0
26,1,0,23600,2,0,67700,1
23,1,0,49400,7,1,63300,1
32,0,0,23700,1,1,55000,0
25,1,0,35700,4,0,100700,1
27,0,1,19900,10,0,148000,1
22,0,0,30600,9,0,59600,0
33,1,0,24600,2,0,51600,0
33,0,1,18000,1,1,48400,0
29,0,0,0,6,1,58500,1
33,1,0,27600,4,1,153000,0
33,1,0,48800,4,0,86800,1
42,0,0,30300,4,0,46400,1
28,1,1,57700,6,1,36900,0
27,1,0,29200,3,1,46900,1
35,0,1,16600,2,1,57400,0
31,1,0,16800,5,0,91200,0
32,1,1,21400,8,1,62100,1
34,0,0,12500,7,1,38800,1
24,1,1,49300,13,0,90200,1
30,0,0,9100,5,1,47100,1
28,0,0,19200,8,0,159200,1
32,1,1,15900,5,1,52700,1
34,0,1,40200,13,1,73400,0
31,0,1,55800,5,1,58900,0
33,0,1,27200,3,1,81100,1
31,1,1,20100,4,0,68400,1
29,0,0,17300,3,0,55700,1
25,0,1,42100,7,0,45400,0
29,0,0,39500,5,1,59600,0
25,1,0,21400,2,1,47700,1
30,1,0,10200,11,1,57200,1
28,1,1,18300,11,1,47300,1
32,1,0,20600,4,1,58300,1
34,1,0,63400,17,1,47800,1
33,1,1,38200,5,1,61600,0
24,0,0,50400,7,1,64000,1
30,1,0,9500,5,0,87400,1
25,0,0,27900,6,1,56200,1
26,0,0,18100,4,1,100600,0
31,0,0,39500,5,1,51100,0
29,0,0,23400,5,1,90100,0
31,0,0,34100,6,1,50800,1
36,0,0,17500,6,0,62500,0
34,1,1,12600,7,0,37400,0
24,0,0,29200,3,1,102700,0
28,0,1,42600,4,0,68400,0
34,1,1,18100,4,0,68800,0
31,0,0,11200,7,1,108000,0
31,0,1,30500,9,1,200500,0
30,0,0,39300,9,0,123000,0
38,1,0,23100,7,1,64300,1
29,0,0,38400,2,1,72600,0
21,0,1,35300,6,1,81500,0
32,1,0,15800,3,0,57000,1
27,0,1,24300,6,1,101500,0
29,0,1,24700,2,1,67600,0
32,0,0,30800,7,0,70200,0
32,0,1,17400,3,0,64800,0
29,1,0,9100,2,1,70800,0
35,0,1,23300,2,1,50300,1
36,0,1,15000,2,1,30300,1
32,0,0,0,14,0,61700,1
25,1,1,31300,7,0,103500,0
29,0,0,34500,8,0,33400,0
22,0,1,26300,7,1,51700,0
28,0,0,21900,7,1,76400,1
29,1,1,27100,7,1,47400,1
29,0,0,59300,11,1,118800,1
29,1,0,34500,9,1,61300,1
32,1,1,63200,8,0,97900,0
30,0,0,7000,3,1,67400,1
29,1,0,18100,7,0,82000,0
30,1,0,15500,5,1,60700,0
38,0,1,11800,4,0,98800,1
32,1,1,27700,3,1,61800,0
27,0,0,14600,6,0,49600,1
29,0,0,17500,3,1,54700,1
28,1,1,37900,7,1,153300,0
33,0,1,13800,9,1,94400,1
32,0,1,22100,9,1,39500,1
35,1,1,24200,6,1,72400,1
27,0,1,19500,6,1,93200,1
29,0,1,23300,4,1,161400,0
30,0,0,29000,5,0,56100,0
34,1,0,53200,5,0,95000,1
24,0,0,15300,6,1,94100,1
30,1,1,25800,8,0,24300,1
28,0,0,34200,4,1,49400,0
23,1,0,25000,7,1,41200,0
26,1,1,24500,7,0,81800,0
30,0,0,25500,6,0,62400,0
26,0,0,19400,14,0,117800,1
24,1,0,30600,11,1,100100,1
33,1,0,21100,9,0,94100,1
30,1,0,83300,13,1,59300,1
25,1,1,50700,5,1,89500,1
24,0,0,29600,2,0,88900,1
35,0,1,29700,6,1,53200,0
34,1,1,12100,6,0,58600,0
36,0,0,25000,2,0,54200,0
29,0,0,37200,5,1,38500,0
27,1,0,16600,1,0,69800,1
30,0,0,58000,2,1,66200,0
25,0,1,23400,4,1,78900,0
32,0,1,21500,3,0,87200,0
29,0,1,33800,15,1,79300,0
27,0,0,18400,7,0,51800,0
27,0,1,13100,11,1,70900,0
33,0,0,18100,18,1,110900,0
29,0,1,34300,2,0,109400,1
30,0,1,23500,8,0,43800,0
32,0,1,19200,6,0,49700,1
23,1,1,16900,4,1,149300,1
26,0,0,22100,5,1,68900,0
34,1,1,27000,3,1,50100,0
35,0,1,65200,2,0,32400,1
31,1,1,11200,5,1,82700,1
29,1,0,24800,12,0,104300,1
25,0,1,46500,9,1,49600,0
34,0,1,20000,7,1,36500,0
38,1,0,16200,1,1,65500,1
34,0,0,27200,9,1,110800,1
32,1,0,11100,3,0,38100,0
33,1,1,18500,2,1,70700,1
27,0,0,21300,1,1,39800,1
30,0,0,19400,3,1,60600,1
32,1,0,17000,5,0,48200,1
33,0,0,28700,4,0,108700,1
26,1,1,20700,4,0,71300,1
29,0,0,17100,4,1,110800,1
36,0,0,21000,5,1,120300,1
38,0,1,21900,6,1,130000,1
31,1,1,61200,7,1,60300,1
31,1,0,10200,8,0,70300,0
31,0,1,23600,5,0,100700,0
30,0,0,23900,4,0,72300,1
30,0,0,28100,5,1,45800,0
24,0,0,23600,6,0,51600,1
34,0,0,70800,10,1,48200,0
39,0,0,25100,14,0,87900,1
27,0,0,22300,7,0,89600,0
31,1,1,36200,6,1,56100,1
32,0,1,20600,12,1,93600,1
37,0,1,38300,4,0,100300,1
29,0,0,13800,5,0,96000,0
31,0,1,47000,10,1,105500,0
27,0,0,30300,4,0,76400,0
31,1,1,37100,6,1,77100,1
32,1,1,64100,4,1,62300,1
30,0,1,19300,6,0,52700,0
26,1,1,27400,4,1,59000,0
32,1,1,23900,2,1,42200,0
32,1,0,27400,7,1,83500,0
26,1,1,14400,3,1,28200,1
24,0,1,36000,4,1,103500,0
25,1,0,30300,6,0,35100,0
28,1,1,30500,11,1,36800,1
